,A,C,G,T,R,Y,S,W,K,M,B,D,H,V,N,.,-
A,1,0,0,0,1,0,0,1,0,1,0,1,1,1,1,0,0
C,0,1,0,0,0,1,1,0,0,1,1,0,1,1,1,0,0
G,0,0,1,0,1,0,1,0,1,0,1,1,0,1,1,0,0
T,0,0,0,1,0,1,0,1,1,0,1,1,1,0,1,0,0
R,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0
Y,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0
S,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0
W,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0
K,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0
M,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0
B,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
D,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
H,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0
V,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0
N,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
